	Código Proyecto	Foco Apoyo	Tipo Intervención	Instrumento	Instrumento Homologado	Estado Data	Tipo Persona	Rut Beneficiario	Beneficiario	Título	Objetivo	Año Adjudicación	Financiamiento Innova	Aprobado Privado	Aprobado Privado Pecuniario	Monto Certificado Ley	Tipo Innovación	Mercado Objetivo	Criterio Mujer	Género	Sostenible	ODS principal	Meta principal	Economía Circular	Modelo de Circularidad	Región	Tramo Ventas	Inicio Actividad Económica	Sector Económico	Patron principal asociado	Tipo proyecto	R principal	Estrategia R Principal	Ley REP	Ley REP (Sí/No)	ERNC	Tendencia Final
1	PI-6121	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76188197-3	BIOENERGÍAS FORESTALES SpA	Usos y valorización de lignina kraft como una alternativa sustentable	Información no pública	2024.0	0			$304.126.442	Producto	Forestal	No	Masculino	Sí					Región del Biobío	Grande	2012-01-26 00:00:00	Energético								Materiales Avanzados (Advanced Materials)
2	PI-6117	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	99550580-0	Tresmontes Lucchetti SA	Envase de snack apilable desarrollado para ser reciclado	Información no pública	2024.0	0			$106.860.000	Producto	Gestión de desechos y Valorización de residuos	No	Femenino	Sí					Región de Valparaíso	Grande	2004-03-16 00:00:00	Servicios empresariales administrativos y de apoyo								Green Technologies (Tecnologías Verdes)
8	PI-6107	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93458000-1	CELULOSA ARAUCO Y CONSTITUCION S A	Obtención y usos de pulpa de alto rendimiento de eucalipto	Información no pública	2024.0	0			$84.673.867	Producto	Forestal	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Forestal								Sin tendencia
10	PI-6102	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93458000-1	CELULOSA ARAUCO Y CONSTITUCION S A	Microproteína desde hidrolizado de madera	Información no pública	2024.0	0			$10.720.948	Producto	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Forestal								Sin tendencia
12	PI-6100	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96931410-k	INGENIERIA Y DESARROLLOS MINEROS INDUSTRIALES SPA	INDEMIN 4.0	Información no pública	2024.0	0			$280.776.585	Proceso	Telecomunicaciones y tecnologías de la información	No	Femenino	Sí					Región de Valparaíso	Grande	2000-10-05 00:00:00	Servicios de ingeniería o de conocimiento								Sin tendencia
14	PI-6098	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76197117-4	BIOTECNOS SOCIEDAD ANONIMA	Validación industrial de la solubilización de sulfuros minerales mediante tecnología de Lixiviación Oxisulfúrica Catalizado con Ondas Microondas, tecnología LOXS MW	Información no pública	2024.0	0			$145.269.120	Proceso	Minería y metalurgia extractiva	No	Masculino	Sí					Región de Valparaíso	Pequeña	2012-02-17 00:00:00	Servicios de ingeniería o de conocimiento								Sin tendencia
17	PI-6094	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76197117-4	BIOTECNOS SOCIEDAD ANONIMA	Desarrollo y Validación de un producto enzimático para el bio blanqueamiento a nivel industrial de papel reciclado	Información no pública	2024.0	0			$72.980.438	Producto	Forestal	No	Masculino	Sí					Región de Valparaíso	Pequeña	2012-02-17 00:00:00	Servicios de ingeniería o de conocimiento								Green Technologies (Tecnologías Verdes)
20	PI-6089	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93458000-1	CELULOSA ARAUCO Y CONSTITUCION S A	Producción de fertilizante, enmiendas y barrera de abatimiento de contaminantes a partir de residuos derivados del proceso de producción de Celulosa	Información no pública	2024.0	0			$90.582.601	Producto	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí					Región del Biobío	Grande	1993-01-01 00:00:00	Forestal								Green Technologies (Tecnologías Verdes)
21	PI-6088	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	93458000-1	CELULOSA ARAUCO Y CONSTITUCION S A	Modelo de optimización del patio de maderas para plantas de celulosa	Información no pública	2024.0	0			$21.945.144	Proceso	Forestal	No	Masculino	No					Región de Ñuble	Grande	1993-01-01 00:00:00	Forestal								Manufactura Avanzada (Advanced Manufacturing)
23	PI-6083	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96505760-9	Colbun S.A.	Nehuenco H2V	Información no pública	2024.0	0			$1.902.872.054	Proceso	Energético	No	Masculino	Sí					Región de Valparaíso	Grande	1993-01-01 00:00:00	Energético								Sin tendencia
