palabra	peso
ALPINE	0.2818
VEGETATION	0.2684
CLIMATE	0.2771
WARMING	0.2447
NON-NATIVE	0.2383
PLANT	0.2472
INVASION	0.2591
FUNCTIONAL	0.2712
TRAITS	0.2636
VASCULAR	0.2105
ANTARCTIC	0.2550
PLANTS	0.2662
ACUTE	0.2487
MYELOID	0.2270
LEUKEMIA	0.2225
HEMATOPOIETIC	0.2412
STEM	0.2125
CELLS	0.2175
ZEB1	0.1069
AGRICULTURAL	0.2297
WASTE	0.2448
CELLULOSE	0.2247
NANOFIBRILS	0.2357
(CNF)	0.1320
NANOCOMPOSITE	0.2428
ALGAS	0.2120
PARDAS	0.2259
POLISACARIDOS	0.2458
ANTI-TUMORAL	0.2531
-	0.0084
INMUNOMODULADOR	0.1955
CRYOSPHERE	0.2179
HYDROLOGY	0.1872
GEOSPATIAL	0.2694
ANALYSIS	0.2484
GLACIERS	0.2678
HYDROCLIMATOLOGY	0.2219
ALZHEIMER	0.2335
DISEASE	0.2408
NUCLEUS	0.2335
ACCUMBENS	0.2421
GLYCINE	0.2417
RECEPTOR	0.2298
COMPUTATIONAL	0.2706
FLUID	0.1772
MECHANICS	0.2770
DESALINATION	0.2884
PROCESSES	0.2236
FINITE-ELEMENT	0.2116
METHOD	0.2282
(FEM)	0.1335
NUMERICAL-METHODS	0.2462
PARTIAL	0.2677
DIFFERENTIAL	0.2587
EQUATION	0.2936
HYPERSPECTRAL	0.2292
CHARACTERIZATION	0.2574
IMAGING	0.2286
MACHINE	0.2822
LEARNING	0.2585
ALGORITHMS	0.2466
OCEANOGRAPHY	0.2360
PELAGIC	0.2462
FISHES	0.2100
ADAPTACIONES	0.2882
FISIOLOGICAS	0.2273
Y	0.0308
MOLECULARES	0.2534
ESTRESORES	0.2122
MULTIPLES	0.2463
ZONA	0.2087
MINIMA	0.2246
DE	0.1571
OXIGENO	0.2367
(ZMO)	0.1104
APEX	0.1907
TELESCOPE	0.2288
ASTRONOMICAL	0.2802
