palabra	peso
CLIMATE	0.2728
CHANGE	0.2449
POLICY	0.2076
COMMONS	0.2111
LOCAL	0.2289
GOVERNANCE	0.2414
MULTISTAKEHOLDER	0.2277
SOUTH-CENTRAL	0.2467
CHILE	0.2441
CIENCIA	0.2947
Y	0.0419
SOCIEDAD	0.2700
RESEARCH	0.2521
UNIVERSIDAD	0.2534
COMPETITIVENESS	0.2424
INNOVATION	0.2543
PROSPECTIVE	0.2333
COMPRENSION	0.2810
LECTORA	0.2917
DIDACTICA	0.2578
NEUROCIENCIA	0.2763
DERECHO	0.2610
INTERNACIONAL	0.3051
PUEBLOS	0.2386
INDIGENAS	0.2922
RECONOCIMIENTO	0.2513
NACIONAL	0.2877
ENERGY	0.2186
ENVIRONMENT	0.2504
ENVIRONMENTAL	0.2735
ECONOMICS	0.2705
ESTUDIANTES	0.2847
UNIVERSITARIOS	0.2733
EFECTOS	0.2651
SOCIOESPACIALES	0.2475
DINAMICAS	0.2687
URBANAS	0.2379
GENDER	0.2396
EQUALITY	0.2559
LEADERSHIP	0.2577
POWER-ASSOCIATIVE	0.2363
EQUITY	0.2173
DEVELOPMENT	0.2364
HIGHER	0.1916
EDUCATION	0.3065
REPOSITORY	0.2460
INUNDACIONES	0.3012
FLUVIALES	0.2579
INFRAESTRUCTURA	0.2391
VERDE	0.2120
PLANIFICACION	0.2474
URBANA	0.2217
JUVENTUD	0.2030
E	0.1639
IDENTIDAD	0.2960
MAPUCHE.	0.2005
COMPONENTES	0.2500
COGNITIVOS	0.2431
AFECTIVOS.	0.2664
PERCEPCION	0.2669
SUBJETIVA	0.2452
DE	0.2057
DISCRIMINACION	0.2689
CONSECUENCIAS	0.2552
EMOCIONALES	0.3139
EN	0.2196
EL	0.1998
BIENESTAR.	0.2716
TENSIONES	0.2831
CONFLICTOS	0.2505
CUESTIONAMIENTOS	0.2786
IDENTITARIOS.	0.3006
LITISPENDENCIA	0.2717
PROCESO	0.2446
CIVIL	0.1990
EFICACIA	0.2665
SENADO	0.2807
AMBICIONES	0.2916
CONEXION	0.2482
ELECTORAL	0.2929
SOCIAL	0.2660
HOUSING	0.2077
INTEGRATION	0.2997
URBAN	0.2205
STUDIES	0.2596
ACCESSIBLE	0.2381
INFORMATION	0.2652
BIBLIOMETRIC	0.2277
INDICATORS	0.2979
METADATA	0.2353
AGRICULTURA	0.2220
DESIGUALDADES	0.2424
SOCIOECOLOGICAS	0.2516
CRISIS	0.2211
HIDRICA	0.2423
AUTORREGULACION	0.2599
LA	0.1745
ESCRITURA	0.2794
OPERADORES	0.2580
ARGUMENTATIVOS	0.2677
ENSAYO	0.2891
ACADEMICO	0.2755
DEL	0.2277
APRENDIZAJE	0.2449
MEDIADA	0.2505
POR	0.1477
TECNOLOGIA	0.2620
EDUCACION	0.3030
SUPERIOR	0.2541
ANALITICAS	0.2601
CARBON	0.2482
TAX	0.1655
EMISSIONS	0.2685
TRADING	0.2611
SYSTEMS	0.1854
NRCE	0.2242
SUBSIDIES	0.2317
COMPUTATIONAL	0.2599
LINGUISTICS	0.2232
INTELLIGENT	0.2345
TUTORING	0.2226
SYSTEM	0.1905
WRITING	0.2044
DISCURSO	0.2335
PEDAGOGICO	0.2370
ENSENANZA	0.2418
HISTORICA	0.2529
FORMACION	0.2735
INICIAL	0.2617
DISENO	0.2870
INSTRUMENTOS	0.2494
EVALUACION	0.2879
INGLES	0.2623
PROCESOS	0.2379
CARGA	0.1976
COGNITIVA	0.2583
RESPUESTA	0.2521
AFECTIVA	0.2583
DESEMPENOS	0.2447
ECOLOGICAL	0.2651
EVALUATION	0.2859
NATURAL	0.2385
AREAS	0.2585
WEB	0.1369
PORTAL	0.2374
HISTORIA	0.2589
PENSAMIENTO	0.2730
HISTORICO	0.2274
CIUDADANA	0.2389
ESTIGMA	0.2812
PERSONAL	0.3023
SALUD	0.2141
MENTAL	0.2924
TRASTORNO	0.2413
EUTROPHICATION	0.2773
AND	0.2245
WATER	0.2229
QUALITY	0.2145
IMAGE	0.2489
SPECTROSCOPY	0.2285
CHLOROPHYLL-A	0.1745
FEEDBACK	0.2175
CORRECTIVO	0.2500
ESCRITO	0.2930
DIRECTO	0.2893
INDIRECTO	0.2770
METALINGÜISTICO	0.2594
COMO	0.1614
SEGUNDA	0.2508
LENGUA.	0.2353
ALFABETIZACION	0.2543
ESTADISTICA	0.2650
ESTADISTICO	0.2772
DOCENTE	0.2724
HABILIDADES	0.2498
DECISIONES	0.2984
PEDAGOGICAS	0.2544
PROFESORES	0.2193
CIENCIAS	0.3028
INDAGACION	0.2773
MODELIZACION	0.2879
SECUENCIAS	0.2805
-	0.0054
UNIVERSITY	0.2434
INSTITUTIONS	0.2342
HYDROLOGICAL	0.2315
SIGNATURE	0.2608
&amp	0.0017
LAND	0.2335
COVER	0.2265
AQUACULTURE	0.2094
(SALMON	0.2263
MUSSEL	0.2010
FARMS)	0.1816
INCLUSION	0.2617
EDUCATIVA	0.2635
TRABAJO	0.2172
COLABORATIVO	0.2320
COMUNIDAD	0.2558
INTERVENCIONES	0.2782
PSICOLOGICAS	0.2383
DELITOS	0.2998
VIOLENTOS	0.2831
CRIMINOLOGIA	0.2492
COVERUSE	0.2352
LANDSCAPE	0.2529
PATTERNS	0.2538
NATURE-BASED	0.2320
SOLUTIONS	0.2558
LUCHAS	0.2139
COMUNITARIO-POPULARES	0.2223
MOVIMIENTOS	0.2557
SOCIALES	0.2872
CRITICA	0.2600
A	0.1428
DEMOCRACIA	0.2818
REPRESENTATIVA	0.2490
MALTRATO	0.2351
BULLYING	0.1830
MEDICA	0.2787
OBLIGACIONES	0.2884
RESTITUTORIAS	0.2746
INDEMNIZATORIAS	0.2752
CONDICTIO	0.2516
INTROMISION	0.2525
PEDAGOGICAL	0.2505
PRACTICES	0.2813
NETWORK	0.2247
ANALYSIS	0.2352
SCIENCE	0.2623
MATHEMATICS	0.2356
REPETITIVO	0.2414
POLITICAS	0.2594
ESCOLAR	0.2906
DIRECTORES	0.2813
DIRECTORAS	0.3091
PUESTA	0.2717
ACTO	0.2376
LAS	0.2066
PRIMARY	0.2210
ENGLISH	0.2526
AS	0.1833
FOREIGN	0.2480
LANGUAGE	0.2168
MOTIVATIONS	0.2651
ATTITUDES	0.2505
PROPIEDAD	0.2490
VIVIENDA	0.2626
SUBURBANIZACION	0.2331
SUBSIDIARIA	0.2153
SIN	0.2131
INFORMACION	0.2691
INTERDISCIPLINARY	0.2540
