palabra	peso
AGRICULTURE	0.2383
MINING	0.1995
TECHNOLOGY	0.2495
WATERS	0.2697
ALERGENOS	0.2723
ALIMENTARIOS	0.2863
TECNOLOGIAS	0.2740
NO	0.1601
TERMICAS	0.2943
CONFORMACION	0.2458
PROTEICA	0.2820
FLOTATION	0.2653
MODELLING	0.2628
NANOPARTICLE	0.2665
ANTIMICROBIAL	0.2555
PHOTODYNAMIC	0.2293
THERAPY	0.2321
BIOSYNTHESIS	0.2398
OF	0.1064
NANOPARTICLES	0.2766
NANOTECHNOLOGY	0.2354
AQUACULTURE	0.2160
WASTEWATER	0.2266
BIOFILTER	0.2467
SUSTAINABLE	0.2491
ASPHALT	0.2084
BINDERS	0.2757
ENCAPSULATED	0.2469
REJUVENATOR	0.2396
WASTE	0.2415
TIRES	0.2749
AUTONOMOUS	0.2340
OPERATION	0.3074
CLARIFIER-THICKENER	0.2188
MODEL	0.2423
WATER	0.2482
RECOVERY	0.2310
BIODEGRADABLE	0.2292
CHERRY	0.1956
PACKAGING	0.2137
POLYMERS	0.2552
HYDRIC	0.2060
RESOURCES	0.2234
SUPERABSORBENT	0.2321
COMPOSITES	0.2523
BIOECONOMY	0.2360
BIOENERGY	0.2620
BIOMATERIALS	0.2878
BIOPRODUCTS	0.2344
BIOMASS	0.2268
ENERGY	0.2330
COMBUSTION	0.2617
EFFICIENCY	0.2200
BLUEBERRY	0.1810
DEEP	0.1792
LEARNING	0.2525
DRONES	0.2765
TECHNOLOGIES	0.2658
BRACKISH	0.2216
TREATMENT	0.2600
MEMBRANE	0.2470
AQUAPORINS	0.2507
POLYMER	0.2377
MEMBRANES	0.2641
CLASSROOMS	0.2149
INDOOR	0.2289
AIR	0.2126
QUALITY	0.2114
VENTILATION	0.2638
RATES	0.2842
COLLABORATION	0.2639
NETWORK	0.2226
COMPUTER-SCIENCE	0.2494
RESEARCH	0.2303
INTERNATIONAL	0.2841
CONCRETE	0.2548
MANUFACTURE	0.2368
THREE-DIMENSIONAL	0.2513
PRINTING	0.2439
COPPER	0.2248
SLAG	0.1790
IRON	0.2388
OXIDES	0.2553
REDUCTION	0.2800
PROCESS	0.2452
DATA-DRIVEN	0.2528
MODELS	0.2631
INTERNET	0.2578
THINGS	0.2441
(IOT)	0.1762
PREDICTIVE	0.2413
MAINTENANCE	0.2672
FORESTRY	0.2419
MICROSERVICES	0.2429
DEVICE	0.2310
FRICTIONAL	0.2800
SELF-CENTERING	0.2452
BEHAVIOR	0.2403
DISINFECTION	0.2586
SOLAR	0.2295
RADIATION	0.2777
WASTEWATERS	0.2292
DISTRIBUTED	0.2339
MICROGRIDS	0.2505
POWER	0.2184
ELECTRONICS	0.2868
APPLICATIONS	0.2737
ELECTRICAL	0.2743
MACHINE	0.2765
DESIGN	0.2534
ELECTROMOBILITY	0.2282
SYNCHRONOUS	0.2125
RELUCTANCE	0.2541
MACHINES	0.2879
ENGINEER	0.2339
EDUCATION	0.2886
ENGINEERING	0.2281
R&ampD	0.1005
GLOBAL	0.1834
WARMING	0.2431
HEALTHY	0.2201
FOODS	0.1896
MICROALGAL	0.2360
BIOTECHNOLOGY	0.2495
HEALTH	0.2247
CARE	0.2426
INNOVATION	0.2458
MEDICAL	0.2583
DEVICES	0.2499
HIGHWAY	0.1692
SAFETY	0.2172
ROLLOVER	0.2220
SENSORS	0.2433
HYPERSPECTRAL	0.2332
CAMERAS	0.2688
IMAGING	0.2218
PYROMETALLURGY	0.2271
SPECTRAL	0.2666
RETRIEVAL	0.2568
SWIR	0.1847
SPECTRA	0.2549
INTELLECTUAL	0.2467
PROPERTY	0.2234
TRANSFER	0.2645
LORA	0.2155
LIGNIN-COATING	0.2267
SELF-HEALING	0.2358
PROPERTIES	0.2703
MICROALGAS	0.2619
EXTRACCION	0.2714
FLUIDOS	0.2244
SUPERCRITICOS	0.2533
BIOPROCESOS	0.2383
ACIDOS	0.2621
GRASOS	0.2250
FITOESTEROLES	0.2592
CAROTENOIDES	0.2987
PEPTIDOS	0.2565
BIOACTIVOS	0.2422
ENFERMEDADES	0.2405
CARDIOVASCULARES	0.2360
CO-MICROENCAPSULACION	0.2338
REPARACION	0.2698
DE	0.1759
ADN	0.1973
FOTOLIASA	0.2448
BETA-CAROTENO	0.2490
ASTAXANTINA	0.2231
BIOPROCESO	0.2445
BIOTECNOLOGIA	0.2593
CULTIVOS	0.2463
MICROALGA	0.2474
SOLID	0.2295
BIOFUELS	0.2466
URBAN	0.2080
BIOREFINERY	0.2468
HYDROTHERMAL	0.2424
CARBONIZATION	0.2424
STARTUPS	0.1956
TECHNOLOGY-BASED-APPLICATIONS	0.2076
TSUNAMI	0.2199
SCOUR	0.2056
ON-SHORE	0.2307
STRUCTURES	0.2200
PROBABILISTIC	0.2458
ANALYSIS	0.2369
SIN	0.2120
INFORMACION	0.2493
ABRASIVE	0.2480
WEAR	0.2159
CERMETS	0.2486
SINTERING	0.2791
ACTIVATED	0.2538
CARBON	0.2372
POLLUTION	0.2499
CONTROL	0.2620
ADSORPTION	0.2677
HYDROGEN	0.2402
STORAGE	0.2666
MONTE	0.2652
CARLO	0.2374
SIMULATIONS	0.2701
ADVANCED	0.2257
OXIDATION	0.2675
PROCESSES	0.2286
ELECTROCOAGULATION	0.2490
RECOVERING	0.2665
MONITORING	0.2440
HYGRO-THERMAL	0.2236
SYSTEMS	0.1999
ALMACENAMIENTO-LIBERACION	0.2058
AGUAS	0.1838
SUBTERRANEAS	0.2516
MODELACION	0.2888
Y	0.0325
ANALISIS	0.2375
SENSIBILIDAD	0.2163
DINAMICO	0.2412
VARIABILIDAD	0.2005
CLIMATICA	0.2432
ARC	0.1898
DISCHARGE	0.2455
PILOT	0.2166
ARTIFICIAL	0.2459
INTELLIGENCE	0.2432
COMPUTER-VISION	0.2631
INTELLIGENT	0.2470
MANUFACTURING	0.2344
PLYWOOD	0.1657
