palabra	peso
ATXorg	0.1066
insumo	0.1747
sustentable	0.2090
para	0.2063
nutrición	0.1767
animal	0.2008
INWAY	0.0112
CAN	0.0126
Flotas	0.2029
Inteligentes	0.1918
Consolidación	0.2085
y	0.0381
Expansión	0.1747
comercial,	0.2377
nacional	0.2318
e	0.1970
internacional,	0.2316
del	0.2585
dispositivo	0.1663
de	0.2459
Neurorehabilitación	0.1955
SmartFES	0.1332
pacientes	0.2607
con	0.1635
pie	0.2097
caído.	0.2009
Desarrollo	0.2169
una	0.1883
Solución	0.1710
Biotecnológica	0.2069
basada	0.1977
en	0.2285
biofilms	0.1591
microbianos	0.2213
el	0.2232
Tratamiento	0.2335
Sostenible	0.2001
Residuos	0.2008
Industriales	0.2436
Líquidos	0.1621
Riles	0.2099
formulación	0.2094
combinada	0.2301
interferón	0.1821
omega	0.2360
gamma	0.1420
recombinantes	0.2423
felinos	0.2496
su	0.0795
uso	0.1254
como	0.1246
antiviral	0.2094
gatos.	0.1820
Dispositivo	0.1446
biodegradable	0.2172
no	0.1437
invasivo	0.1975
efecto	0.1960
cicatrizante	0.2217
antimicrobiano	0.1936
tratamiento	0.2384
heridas	0.2534
complejas	0.2339
mascotas.	0.1898
Nueva	0.2125
terapia	0.2468
oral	0.2236
la	0.1830
parvovirosis	0.1746
canina.	0.1938
alimento	0.2508
funcional	0.2163
agonistas	0.2088
peptídicos	0.2013
receptor	0.2043
secretagogo	0.2056
GH	0.0032
mitigación	0.1853
estrés	0.1968
mejora	0.2519
crecimiento	0.2183
sistema	0.2237
inmune	0.1880
salmónidos.	0.2086
Biodispositivo	0.1492
Innovador	0.2020
Eficiencia	0.2212
RILES	0.0159
Agroindustria	0.2112
Elaboración	0.2114
un	0.1051
bioproducto	0.1740
bacterias	0.2575
probióticas	0.2010
estado	0.2554
sólido	0.1884
control	0.2110
Flavobacteriosis	0.1936
salmones.	0.2179
